ASIAN,BLACK,AMINDIAN,MULTI,OTHER,UNDESIGNATED,WHITE,SCORE_PARITY,PRECINCT_ID,PPL_COUNT,PRECINCT_ABBRV
0.018440928800405383,0.013942844768466417,,0.015531337599589596,0.013393659848222423,0.01565444659833093,0.017257181199226947,0.7263007190791818,0,2104,0024
0.022898111373353784,0.018656612331061372,0.01646567845424672,0.021297755450038647,0.021807177384463243,0.02545585654654667,0.02388605816720265,0.6468326227459216,1,2034,0013
0.032108487368064556,0.01597538385855658,0.018822665713235855,0.04454416117691795,0.020975924594153008,0.026077693456482087,0.02999185949611913,0.3586414792975102,2,1451,0040
0.03274043820979651,0.02764329126693412,0.03804690856025053,0.039930719202258276,0.03128661420352768,0.03161439953320459,0.02950268056990272,0.6922813267378054,3,1580,0047-A
0.04347104868117509,0.04883723793420753,,0.027326110389142177,0.07890979095517003,0.049787637658785015,0.05498636226537549,0.3462955617848056,4,882,0065
0.07432709450425347,0.08386725668005669,0.06799853927583421,0.07519945944931562,0.07321619083948079,0.07728121112932426,0.07047084055874847,0.8107876895895177,5,2137,0011
0.022766680793584872,0.01761017550761791,,,0.016352742669592288,0.019633608540931113,0.022791079268421752,0.7175062873064497,6,1393,0036
0.02845619807940128,0.018054576845776712,0.06239601649730262,0.02099162114162944,0.027024143383902282,0.031093596217549927,0.02931975862376558,0.2893546392750443,7,1013,0052
0.008341220045912201,0.009608750766029819,0.007441820653778982,0.005466544738370883,0.008658325225567027,0.009488331224350397,0.009634352529605436,0.5674013610746252,8,1254,0035
0.011403049373910113,0.012485511851312258,0.013792539321240173,0.01281514815243601,0.011342634590524139,0.010848236619827764,0.012183249866825632,0.7865293233655493,9,1311,0031
0.07311093044222865,0.06565062179378268,,0.16247428287860008,0.07578448527937333,0.08026065362673948,0.07592415120642002,0.4040677738693974,10,745,0029-A
0.033326657648000364,0.026295676094231613,,0.022181515904431254,0.028408298177788775,0.03063788418717242,0.029807952541090865,0.6655787729665165,11,1770,0053
0.06970187134504184,0.05024425114386498,0.0662972678245518,,0.04155413976634682,0.05516768256374476,0.0527369936199672,0.5961696431454954,12,597,0062
0.015528224164981713,0.018587458982505498,0.017398707248450367,0.021440896900506465,0.01852036948215922,0.01786120712073332,0.017941704531934072,0.724233889889882,13,1885,0038
0.015336529294282385,0.01504419306247632,0.026040253935011547,0.020295841883113102,0.022318687771807028,0.020368733252777865,0.022392093030525202,0.5777283547242662,14,1008,0047-B
0.021093300674694764,0.016145965410286945,0.012259433394751256,0.009169912309726386,0.01783687234414493,0.016742424132329133,0.01666874862061024,0.43473102911425127,15,2103,0070
0.027721375041502346,0.024935427568112293,,,0.023753328829132506,0.02037147008122622,0.022001912629354404,0.7348650653413691,16,1754,0001
0.009256516820479704,0.022901835648125004,,0.017944116050005794,0.01572419085130059,0.019979200361436102,0.018916164261766347,0.4041823093441658,17,553,0064
0.021671439970818693,0.019338826247716896,0.021118661843776303,0.021331282883553827,0.020335817114289317,0.019756949389026758,0.02212551150478204,0.8740510357709538,18,1379,0039
0.01107922527972741,0.011924263859680003,0.018392350692608694,0.010121094414008991,0.012014733207337017,0.012244865990334934,0.011920330808731483,0.5502882466283301,19,1237,0021
0.020145746785545607,0.013712658426140492,0.02597795785859532,0.02723923612953352,0.019116338180715176,0.020841436600817127,0.021749758248657425,0.5034156743945126,20,1701,0048
0.043372372115629006,0.054502135760238025,0.04048505856729887,0.03171090310918218,0.02398908926344935,0.03301955670126849,0.03964022375547064,0.4401495267814911,21,1394,0012
0.01886436102095783,0.017480915190969393,0.012842698559972615,0.018204625401254535,0.020400309394978406,0.019376605143424125,0.021025750394796747,0.6108080957315466,22,1178,0015
0.023037031078517463,0.019854570919006765,0.016289763933224264,0.021535411675896572,0.02196448394790614,0.019911692612458325,0.02017998752494893,0.707112122117803,23,1510,0034
0.026557520904887704,0.03203928293180584,0.039134658062334134,0.02907940932838291,0.03208099919212377,0.025515222902099396,0.02506699825358697,0.6405319349835629,24,1943,0051
0.013687616662189856,0.015168912232488433,0.010651869741974334,0.011710049060517168,0.019643225564001606,0.015290515361794047,0.015647112816400015,0.5422668342970652,25,995,0003
,0.07798514657069441,,0.015686356141558153,0.05981181244494272,0.05299275076112478,0.04576514144300878,0.2011454338594888,26,509,0019
0.02306084777631425,0.018952933382619355,0.023073657745542757,,0.01871184209148784,0.017617171714813355,0.020168145543689557,0.7635188104589332,27,859,0022
0.037143854062655385,0.037433558738827796,0.038298665781574176,,0.03888774748412481,0.038385779383441225,0.037179014368909795,0.9551557101068573,28,794,0029-B
,0.013810523100017711,0.018104030076203703,,0.019382432936002714,0.02072379445052222,0.020946914260832762,0.6593106234191777,29,821,0020
0.01867291831471642,0.02436078399302168,0.023199116959701012,0.015703966902641385,0.015807236885398313,0.019542599580722866,0.022512405538453326,0.6446412770270407,30,1593,0014
0.05790003404404842,0.03382945652194914,0.024351720616825737,0.049279485231154635,0.034339159035493255,0.038169786539212734,0.03595040945729984,0.42058214677904604,31,1421,0066
,,,,,0.02759676002944357,0.026434873251348693,0.9578977105698192,32,24,0018
