precinct_abbrv,p_street_address,p_city,p_state,p_zipcode,precinct_id,precinct_lat,precinct_long
0024,102 MASSEL AVE SW,VALDESE,NC,28690,0,35.741333,-81.565
0040,801 CARBON CITY RD,MORGANTON,NC,28655,2,35.732937,-81.73751
0047-A,2239 NC 181,MORGANTON,NC,28655,3,35.776558,-81.754906
0065,4806 US 64,MORGANTON,NC,28655,4,35.645874,-81.76928
0052,3776 JAMESTOWN RD,MORGANTON,NC,28655,7,35.689007,-81.8352
0035,211 LENOIR RD,MORGANTON,NC,28655,8,35.761337,-81.68899
0031,410 S COLLEGE ST,MORGANTON,NC,28655,9,35.740406,-81.68546
0029-A,8204 GUS PEELER RD,CONNELLY SPRINGS,NC,28612,10,35.5829,-81.562454
0053,4806 US 64,MORGANTON,NC,28655,11,35.645874,-81.76928
0062,3500 BROWN MOUNTAIN BEACH RD,MORGANTON,NC,28655,12,35.862507,-81.78356
0038,1834 US 70 EAST,MORGANTON,NC,28655,13,35.75313,-81.646164
0047-B,2682 NC 181,MORGANTON,NC,28655,14,35.788425,-81.75808
0070,1329 SALEM RD,MORGANTON,NC,28655,15,35.695847,-81.70221
0064,2510 ENOLA RD,MORGANTON,NC,28655,17,35.662476,-81.64974
0039,130 AMMONS DR #2,MORGANTON,NC,28655,18,35.719433,-81.67715
0048,145 BOST RD,MORGANTON,NC,28655,20,35.758938,-81.71575
0012,7470 GEORGE HILDEBRAN SCHOOL RD,CONNELLY SPRINGS,NC,28612,21,35.649414,-81.50448
0034,501 N GREEN ST,MORGANTON,NC,28655,23,35.742977,-81.68283
0051,325 CONLEY RD,MORGANTON,NC,28655,24,35.717884,-81.7676
0003,3073 HIGH PEAK RD,VALDESE,NC,28690,25,35.73257,-81.59753
0019,7765 SOUTH MTN INSTITUTE RD,NEBO,NC,28761,26,35.772793,-81.91936
0029-B,8204 GUS PEELER RD,CONNELLY SPRINGS,NC,28612,28,35.5829,-81.562454
0020,3222 NC 126,MORGANTON,NC,28655,29,35.77201,-81.814224
0014,3895 EAST BURKE BLVD,CONNELLY SPRINGS,NC,28612,30,35.71889,-81.47879
0013,208 S CENTER ST,HILDEBRAN,NC,28673,1,35.71227,-81.42374
0011,703 BURKE ST,CONNELLY SPRINGS,NC,28612,5,35.7407,-81.51562
0036,1140 OLD NC 18,MORGANTON,NC,28655,6,35.70485,-81.66053
0001,700 S MAIN ST,DREXEL,NC,28619,16,35.75108,-81.60549
0021,400 W MAIN ST,VALDESE,NC,28690,19,35.74471,-81.56683
0015,3107 2ND AVE NW,HICKORY,NC,28601,22,35.73596,-81.390635
0022,980 MALCOM BLVD,RUTHERFORD COLLEGE,NC,28671,27,35.752294,-81.525401
0066,2126 PAX HILL RD,MORGANTON,NC,28655,31,35.812584,-81.663406
0018,6680 DOGWOOD KNOB RD,JONAS RIDGE,NC,28641,32,35.974213,-81.895112
